temp,year,week,hour
6,2013,8,21
5,2013,8,22
4,2013,8,23
4,2013,8,0
3,2013,8,1
3,2013,8,2
3,2013,8,3
2,2013,8,4
2,2013,8,5
2,2013,8,6
1,2013,8,7
2,2013,8,8
2,2013,8,9
2,2013,8,10
2,2013,8,11
1,2013,8,12
2,2013,8,13
2,2013,8,14
3,2013,8,15
4,2013,8,16
4,2013,8,17
5,2013,8,18
5,2013,8,19
5,2013,8,20
5,2013,8,21
4,2013,8,22
4,2013,8,23
3,2013,8,0
3,2013,8,1
3,2013,8,2
3,2013,8,3
2,2013,8,4
2,2013,8,5
2,2013,8,6
2,2013,8,7
1,2013,8,8
1,2013,8,9
1,2013,8,10
1,2013,8,11
1,2013,8,12
1,2013,8,13
1,2013,8,14
2,2013,8,15
2,2013,8,16
2,2013,8,17
3,2013,8,18
3,2013,8,19
3,2013,8,20
2,2013,8,21
2,2013,8,22
2,2013,8,23
2,2013,9,0
2,2013,9,1
1,2013,9,2
1,2013,9,3
1,2013,9,4
0,2013,9,5
0,2013,9,6
0,2013,9,7
0,2013,9,8
0,2013,9,9
0,2013,9,10
0,2013,9,11
0,2013,9,12
0,2013,9,13
0,2013,9,14
0,2013,9,15
0,2013,9,16
1,2013,9,17
2,2013,9,18
3,2013,9,19
4,2013,9,20
4,2013,9,21
3,2013,9,22
3,2013,9,23
2,2013,9,0
1,2013,9,1
0,2013,9,2
0,2013,9,3
0,2013,9,4
-1,2013,9,5
-1,2013,9,6
-1,2013,9,7
-1,2013,9,8
-2,2013,9,9
-2,2013,9,10
-2,2013,9,11
-1,2013,9,12
0,2013,9,13
2,2013,9,14
5,2013,9,15
8,2013,9,16
10,2013,9,17
11,2013,9,18
12,2013,9,19
13,2013,9,20
13,2013,9,21
13,2013,9,22
13,2013,9,23
12,2013,9,0
11,2013,9,1
11,2013,9,2
11,2013,9,3
10,2013,9,4
9,2013,9,5
9,2013,9,6
9,2013,9,7
9,2013,9,8
9,2013,9,9
10,2013,9,10
10,2013,9,11
10,2013,9,12
10,2013,9,13
6,2013,9,14
8,2013,9,15
3,2013,9,16
4,2013,9,17
11,2013,9,18
11,2013,9,19
17,2013,9,20
16,2013,9,21
14,2013,9,22
13,2013,9,23
11,2013,9,0
8,2013,9,1
5,2013,9,2
4,2013,9,3
4,2013,9,4
4,2013,9,5
3,2013,9,6
3,2013,9,7
